Analysis Neighborhood,Incident Year-Month,Incident Datetime
Inner Richmond,2022-04,51
Inner Richmond,2022-05,39
Inner Richmond,2022-06,40
Inner Richmond,2022-07,58
Inner Richmond,2022-08,39
Inner Richmond,2022-09,32
Inner Richmond,2022-10,54
Inner Richmond,2022-11,39
Inner Richmond,2022-12,60
Inner Sunset,2018-01,41
Inner Sunset,2018-02,36
Inner Sunset,2018-03,31
Inner Sunset,2018-04,37
Inner Sunset,2018-05,43
Inner Sunset,2018-06,49
Inner Sunset,2018-07,51
Inner Sunset,2018-08,55
Inner Sunset,2018-09,51
Inner Sunset,2018-10,43
Inner Sunset,2018-11,30
Inner Sunset,2018-12,33
Inner Sunset,2019-01,35
Inner Sunset,2019-02,45
Inner Sunset,2019-03,37
Inner Sunset,2019-04,44
Inner Sunset,2019-05,31
Inner Sunset,2019-06,46
Inner Sunset,2019-07,60
Inner Sunset,2019-08,53
Inner Sunset,2019-09,39
Inner Sunset,2019-10,70
Inner Sunset,2019-11,42
Inner Sunset,2019-12,58
Inner Sunset,2020-01,49
Inner Sunset,2020-02,51
Inner Sunset,2020-03,39
Inner Sunset,2020-04,42
Inner Sunset,2020-05,25
Inner Sunset,2020-06,43
Inner Sunset,2020-07,57
Inner Sunset,2020-08,57
Inner Sunset,2020-09,44
Inner Sunset,2020-10,66
Inner Sunset,2020-11,69
Inner Sunset,2020-12,60
Inner Sunset,2021-01,53
Inner Sunset,2021-02,64
Inner Sunset,2021-03,63
Inner Sunset,2021-04,66
Inner Sunset,2021-05,52
Inner Sunset,2021-06,86
Inner Sunset,2021-07,50
Inner Sunset,2021-08,46
Inner Sunset,2021-09,60
Inner Sunset,2021-10,65
Inner Sunset,2021-11,47
Inner Sunset,2021-12,62
Inner Sunset,2022-01,59
Inner Sunset,2022-02,36
Inner Sunset,2022-03,52
Inner Sunset,2022-04,51
Inner Sunset,2022-05,53
Inner Sunset,2022-06,55
Inner Sunset,2022-07,34
Inner Sunset,2022-08,42
Inner Sunset,2022-09,49
Inner Sunset,2022-10,48
Inner Sunset,2022-11,54
Inner Sunset,2022-12,55
Japantown,2018-01,43
Japantown,2018-02,29
Japantown,2018-03,53
Japantown,2018-04,32
Japantown,2018-05,40
Japantown,2018-06,28
Japantown,2018-07,35
Japantown,2018-08,38
Japantown,2018-09,38
Japantown,2018-10,30
Japantown,2018-11,34
Japantown,2018-12,52
Japantown,2019-01,31
Japantown,2019-02,36
Japantown,2019-03,43
Japantown,2019-04,32
Japantown,2019-05,54
Japantown,2019-06,40
Japantown,2019-07,44
Japantown,2019-08,49
Japantown,2019-09,27
Japantown,2019-10,52
Japantown,2019-11,42
Japantown,2019-12,47
Japantown,2020-01,46
Japantown,2020-02,37
Japantown,2020-03,29
Japantown,2020-04,16
Japantown,2020-05,18
Japantown,2020-06,20
Japantown,2020-07,18
Japantown,2020-08,31
Japantown,2020-09,20
Japantown,2020-10,31
Japantown,2020-11,26
Japantown,2020-12,34
Japantown,2021-01,13
Japantown,2021-02,19
Japantown,2021-03,36
Japantown,2021-04,33
Japantown,2021-05,54
Japantown,2021-06,27
Japantown,2021-07,35
Japantown,2021-08,45
Japantown,2021-09,32
Japantown,2021-10,50
Japantown,2021-11,36
Japantown,2021-12,41
Japantown,2022-01,40
Japantown,2022-02,47
Japantown,2022-03,55
Japantown,2022-04,37
Japantown,2022-05,30
Japantown,2022-06,45
Japantown,2022-07,36
Japantown,2022-08,40
Japantown,2022-09,51
Japantown,2022-10,62
Japantown,2022-11,56
Japantown,2022-12,54
Lakeshore,2018-01,64
Lakeshore,2018-02,49
Lakeshore,2018-03,53
Lakeshore,2018-04,58
Lakeshore,2018-05,51
Lakeshore,2018-06,39
Lakeshore,2018-07,47
Lakeshore,2018-08,53
Lakeshore,2018-09,52
Lakeshore,2018-10,50
Lakeshore,2018-11,62
Lakeshore,2018-12,57
Lakeshore,2019-01,57
Lakeshore,2019-02,39
Lakeshore,2019-03,49
Lakeshore,2019-04,56
Lakeshore,2019-05,55
Lakeshore,2019-06,54
Lakeshore,2019-07,72
Lakeshore,2019-08,62
Lakeshore,2019-09,49
Lakeshore,2019-10,52
Lakeshore,2019-11,68
Lakeshore,2019-12,66
Lakeshore,2020-01,54
Lakeshore,2020-02,37
Lakeshore,2020-03,33
Lakeshore,2020-04,26
Lakeshore,2020-05,28
Lakeshore,2020-06,43
Lakeshore,2020-07,44
Lakeshore,2020-08,32
Lakeshore,2020-09,28
Lakeshore,2020-10,33
Lakeshore,2020-11,39
Lakeshore,2020-12,32
Lakeshore,2021-01,33
Lakeshore,2021-02,32
Lakeshore,2021-03,30
Lakeshore,2021-04,31
Lakeshore,2021-05,26
Lakeshore,2021-06,34
Lakeshore,2021-07,48
Lakeshore,2021-08,38
Lakeshore,2021-09,86
Lakeshore,2021-10,52
Lakeshore,2021-11,80
Lakeshore,2021-12,101
Lakeshore,2022-01,102
Lakeshore,2022-02,85
Lakeshore,2022-03,94
Lakeshore,2022-04,75
Lakeshore,2022-05,69
Lakeshore,2022-06,80
Lakeshore,2022-07,58
Lakeshore,2022-08,53
Lakeshore,2022-09,57
Lakeshore,2022-10,35
Lakeshore,2022-11,47
Lakeshore,2022-12,62
Lincoln Park,2018-01,2
Lincoln Park,2018-02,1
Lincoln Park,2018-03,3
Lincoln Park,2018-04,2
Lincoln Park,2018-05,3
Lincoln Park,2018-06,1
Lincoln Park,2018-07,11
Lincoln Park,2018-08,6
Lincoln Park,2018-09,5
Lincoln Park,2018-10,2
Lincoln Park,2018-11,8
Lincoln Park,2018-12,3
Lincoln Park,2019-01,5
Lincoln Park,2019-02,3
Lincoln Park,2019-03,1
Lincoln Park,2019-04,6
Lincoln Park,2019-05,6
Lincoln Park,2019-06,4
Lincoln Park,2019-07,11
Lincoln Park,2019-08,7
Lincoln Park,2019-09,9
Lincoln Park,2019-10,5
Lincoln Park,2019-11,9
Lincoln Park,2019-12,9
Lincoln Park,2020-01,8
Lincoln Park,2020-02,11
Lincoln Park,2020-03,6
Lincoln Park,2020-04,1
Lincoln Park,2020-05,2
Lincoln Park,2020-06,4
Lincoln Park,2020-07,6
Lincoln Park,2020-08,5
Lincoln Park,2020-09,4
Lincoln Park,2020-10,8
Lincoln Park,2020-11,7
Lincoln Park,2020-12,9
Lincoln Park,2021-01,7
Lincoln Park,2021-02,10
Lincoln Park,2021-03,10
Lincoln Park,2021-04,11
